prediction;test_price
37.87;38.15
37.32;38.41
36.88;38.89
36.82;39.6
37.03;38.93
37.84;39.2
37.63;39.9
37.55;39.43
38.06;38.95
38.09;39.12
37.91;39.04
37.97;38.45
37.82;38.87
37.65;38.25
37.93;37.68
37.55;36.76
37.15;36.91
36.19;37.33
35.85;37.87
36.11;37.52
36.66;38.25
36.71;38.81
37.17;38.91
37.62;38.5
37.75;38.88
37.61;39.25
37.8;39.02
38.16;38.8
38.08;38.6
37.85;38.42
37.71;38.27
37.53;38.07
37.45;37.81
37.19;37.93
36.94;37.69
36.61;37.76
36.08;37.14
36.23;37.59
35.92;37.3
36.27;37.44
36.42;38.07
36.38;38.27
36.79;37.97
37.21;38.33
37.15;38.55
37.03;38.95
37.07;39.02
37.29;39.18
37.56;39.0
37.96;38.59
37.91;38.65
37.64;38.99
37.59;39.02
37.72;39.76
37.86;37.59
38.38;37.65
37.19;37.59
36.64;37.06
36.44;37.13
36.15;37.5
36.14;37.47
36.21;37.58
36.39;37.27
36.37;37.21
36.11;37.24
36.0;37.11
35.81;37.59
35.94;37.69
36.36;36.58
36.42;36.27
35.8;35.66
35.31;35.67
34.75;35.63
34.56;35.52
34.42;35.65
34.4;34.86
34.3;34.74
33.72;34.94
33.59;34.76
33.82;34.42
33.84;34.44
33.67;34.62
33.4;35.11
33.56;34.69
33.86;34.24
33.72;34.03
33.55;34.47
33.32;34.33
33.5;34.72
33.48;35.35
33.79;35.96
34.35;36.19
35.01;35.83
35.02;35.98
34.84;36.14
34.89;35.51
34.8;35.45
34.4;35.82
34.29;35.84
34.48;35.56
34.54;35.09
34.41;35.8
33.9;35.64
34.4;36.89
34.42;36.81
35.16;36.73
35.36;36.68
35.34;35.78
35.36;35.67
34.78;34.97
34.37;34.81
33.94;33.47
33.66;33.89
32.78;32.01
32.92;31.85
31.72;29.91
31.29;31.42
29.85;28.56
30.39;29.08
28.84;29.96
28.81;30.47
28.91;30.26
29.46;30.21
29.37;29.47
29.75;28.84
29.43;28.99
28.77;29.07
28.53;29.44
28.56;28.98
28.82;29.34
28.67;30.02
28.61;30.41
28.87;30.84
29.27;30.22
29.51;29.39
29.36;28.76
28.82;29.54
28.02;28.93
28.45;28.11
28.18;28.33
27.75;28.48
27.69;29.24
27.62;29.83
28.24;29.8
28.82;29.44
